index	interval
204	chr5_18000001-19000000
205	chr5_19000001-20000000
206	chr5_20000001-21000000
207	chr5_21000001-22000000
208	chr5_22000001-23000000
209	chr5_23000001-24000000
210	chr5_24000001-25000000
211	chr5_25000001-26000000
212	chr5_26000001-27000000
213	chr5_27000001-28000000
214	chr5_28000001-29000000
215	chr5_29000001-30000000
216	chr5_30000001-31000000
217	chr5_31000001-32000000
218	chr5_32000001-33000000
219	chr5_33000001-34000000
220	chr5_34000001-35000000
221	chr5_35000001-36000000
222	chr5_36000001-37000000
223	chr5_37000001-38000000
224	chr5_38000001-39000000
225	chr5_39000001-40000000
226	chr5_40000001-40211269
227	chr6_1-1000000
228	chr6_1000001-2000000
229	chr6_2000001-3000000
230	chr6_3000001-4000000
231	chr6_4000001-5000000
232	chr6_5000001-6000000
233	chr6_6000001-7000000
234	chr6_7000001-8000000
235	chr6_8000001-9000000
236	chr6_9000001-10000000
237	chr6_10000001-11000000
238	chr6_11000001-12000000
239	chr6_12000001-13000000
240	chr6_13000001-14000000
241	chr6_14000001-15000000
242	chr6_15000001-16000000
243	chr6_16000001-17000000
244	chr6_17000001-18000000
245	chr6_18000001-19000000
246	chr6_19000001-20000000
247	chr6_20000001-21000000
248	chr6_21000001-22000000
249	chr6_22000001-23000000
250	chr6_23000001-24000000
251	chr6_24000001-25000000
252	chr6_25000001-26000000
253	chr6_26000001-27000000
254	chr6_27000001-28000000
255	chr6_28000001-29000000
256	chr6_29000001-30000000
257	chr6_30000001-31000000
258	chr6_31000001-32000000
259	chr6_32000001-33000000
260	chr6_33000001-34000000
261	chr6_34000001-35000000
262	chr6_35000001-36000000
263	chr6_36000001-37000000
264	chr6_37000001-38000000
265	chr6_38000001-39000000
266	chr6_39000001-39814911
267	chr7_1-1000000
268	chr7_1000001-2000000
269	chr7_2000001-3000000
270	chr7_3000001-4000000
271	chr7_4000001-5000000
272	chr7_5000001-6000000
273	chr7_6000001-7000000
274	chr7_7000001-8000000
275	chr7_8000001-9000000
276	chr7_9000001-10000000
277	chr7_10000001-11000000
278	chr7_11000001-12000000
279	chr7_12000001-13000000
280	chr7_13000001-14000000
281	chr7_14000001-15000000
282	chr7_15000001-16000000
283	chr7_16000001-17000000
284	chr7_17000001-18000000
285	chr7_18000001-19000000
286	chr7_19000001-20000000
287	chr7_20000001-21000000
288	chr7_21000001-22000000
289	chr7_22000001-23000000
290	chr7_23000001-24000000
291	chr7_24000001-25000000
292	chr7_25000001-26000000
293	chr7_26000001-27000000
294	chr7_27000001-28000000
295	chr7_28000001-29000000
296	chr7_29000001-30000000
297	chr7_30000001-31000000
298	chr7_31000001-32000000
299	chr7_32000001-33000000
300	chr7_33000001-34000000
301	chr7_34000001-35000000
302	chr7_35000001-36000000
303	chr7_36000001-37000000
304	chr7_37000001-38000000
305	chr7_38000001-39000000
306	chr7_39000001-39350476
307	chr8_1-1000000
308	chr8_1000001-2000000
309	chr8_2000001-3000000
310	chr8_3000001-4000000
311	chr8_4000001-5000000
312	chr8_5000001-6000000
313	chr8_6000001-7000000
314	chr8_7000001-8000000
315	chr8_8000001-9000000
316	chr8_9000001-10000000
317	chr8_10000001-11000000
318	chr8_11000001-12000000
319	chr8_12000001-13000000
320	chr8_13000001-14000000
321	chr8_14000001-15000000
322	chr8_15000001-16000000
323	chr8_16000001-17000000
324	chr8_17000001-18000000
325	chr8_18000001-19000000
326	chr8_19000001-20000000
327	chr8_20000001-21000000
328	chr8_21000001-22000000
329	chr8_22000001-23000000
330	chr8_23000001-24000000
331	chr8_24000001-25000000
332	chr8_25000001-26000000
333	chr8_26000001-27000000
334	chr8_27000001-28000000
335	chr8_28000001-29000000
336	chr8_29000001-30000000
337	chr8_30000001-31000000
338	chr8_31000001-32000000
339	chr8_32000001-33000000
340	chr8_33000001-34000000
341	chr8_34000001-35000000
342	chr8_35000001-36000000
343	chr8_36000001-37000000
344	chr8_37000001-38000000
345	chr8_38000001-38912301
346	chr9_1-1000000
347	chr9_1000001-2000000
348	chr9_2000001-3000000
349	chr9_3000001-4000000
350	chr9_4000001-5000000
351	chr9_5000001-6000000
352	chr9_6000001-7000000
353	chr9_7000001-8000000
354	chr9_8000001-9000000
355	chr9_9000001-10000000
356	chr9_10000001-11000000
357	chr9_11000001-12000000
358	chr9_12000001-13000000
359	chr9_13000001-14000000
360	chr9_14000001-15000000
361	chr9_15000001-16000000
362	chr9_16000001-17000000
363	chr9_17000001-18000000
364	chr9_18000001-19000000
365	chr9_19000001-20000000
366	chr9_20000001-21000000
367	chr9_21000001-22000000
368	chr9_22000001-23000000
369	chr9_23000001-24000000
370	chr9_24000001-25000000
371	chr9_25000001-26000000
372	chr9_26000001-27000000
373	chr9_27000001-28000000
374	chr9_28000001-29000000
375	chr9_29000001-30000000
376	chr9_30000001-31000000
377	chr9_31000001-32000000
378	chr9_32000001-33000000
379	chr9_33000001-34000000
380	chr9_34000001-35000000
381	chr9_35000001-36000000
382	chr9_36000001-37000000
383	chr9_37000001-38000000
384	chr9_38000001-38593806
385	chr10_1-1000000
386	chr10_1000001-2000000
387	chr10_2000001-3000000
388	chr10_3000001-4000000
389	chr10_4000001-5000000
390	chr10_5000001-6000000
391	chr10_6000001-7000000
392	chr10_7000001-8000000
393	chr10_8000001-9000000
394	chr10_9000001-10000000
395	chr10_10000001-11000000
396	chr10_11000001-12000000
397	chr10_12000001-13000000
398	chr10_13000001-14000000
399	chr10_14000001-15000000
400	chr10_15000001-16000000
401	chr10_16000001-17000000
402	chr10_17000001-18000000
403	chr10_18000001-19000000
404	chr10_19000001-20000000
405	chr10_20000001-21000000
406	chr10_21000001-22000000
407	chr10_22000001-23000000
408	chr10_23000001-24000000
409	chr10_24000001-25000000
410	chr10_25000001-26000000
411	chr10_26000001-27000000
412	chr10_27000001-28000000
413	chr10_28000001-29000000
414	chr10_29000001-30000000
415	chr10_30000001-31000000
416	chr10_31000001-32000000
417	chr10_32000001-33000000
418	chr10_33000001-34000000
419	chr10_34000001-35000000
420	chr10_35000001-36000000
421	chr10_36000001-37000000
422	chr10_37000001-38000000
423	chr10_38000001-38583819
424	chr11_1-1000000
425	chr11_1000001-2000000
426	chr11_2000001-3000000
427	chr11_3000001-4000000
428	chr11_4000001-5000000
429	chr11_5000001-6000000
430	chr11_6000001-7000000
431	chr11_7000001-8000000
432	chr11_8000001-9000000
433	chr11_9000001-10000000
434	chr11_10000001-11000000
435	chr11_11000001-12000000
436	chr11_12000001-13000000
437	chr11_13000001-14000000
438	chr11_14000001-15000000
439	chr11_15000001-16000000
440	chr11_16000001-17000000
441	chr11_17000001-18000000
442	chr11_18000001-19000000
443	chr11_19000001-20000000
444	chr11_20000001-21000000
445	chr11_21000001-22000000
446	chr11_22000001-23000000
447	chr11_23000001-24000000
448	chr11_24000001-25000000
449	chr11_25000001-26000000
450	chr11_26000001-27000000
451	chr11_27000001-28000000
452	chr11_28000001-29000000
453	chr11_29000001-30000000
454	chr11_30000001-31000000
455	chr11_31000001-32000000
456	chr11_32000001-33000000
457	chr11_33000001-34000000
458	chr11_34000001-35000000
459	chr11_35000001-36000000
460	chr11_36000001-37000000
461	chr11_37000001-38000000
462	chr11_38000001-38440066
463	chr12_1-1000000
464	chr12_1000001-2000000
465	chr12_2000001-3000000
466	chr12_3000001-4000000
467	chr12_4000001-5000000
468	chr12_5000001-6000000
469	chr12_6000001-7000000
470	chr12_7000001-8000000
471	chr12_8000001-9000000
472	chr12_9000001-10000000
473	chr12_10000001-11000000
474	chr12_11000001-12000000
475	chr12_12000001-13000000
476	chr12_13000001-14000000
477	chr12_14000001-15000000
478	chr12_15000001-16000000
479	chr12_16000001-17000000
480	chr12_17000001-18000000
481	chr12_18000001-19000000
482	chr12_19000001-20000000
483	chr12_20000001-21000000
484	chr12_21000001-22000000
485	chr12_22000001-23000000
486	chr12_23000001-24000000
487	chr12_24000001-25000000
488	chr12_25000001-26000000
489	chr12_26000001-27000000
490	chr12_27000001-28000000
491	chr12_28000001-29000000
492	chr12_29000001-30000000
493	chr12_30000001-31000000
494	chr12_31000001-32000000
495	chr12_32000001-33000000
496	chr12_33000001-34000000
497	chr12_34000001-35000000
498	chr12_35000001-36000000
499	chr12_36000001-37000000
500	chr12_37000001-38000000
501	chr12_38000001-38278902
502	chr13_1-1000000
503	chr13_1000001-2000000
504	chr13_2000001-3000000
505	chr13_3000001-4000000
506	chr13_4000001-5000000
507	chr13_5000001-6000000
508	chr13_6000001-7000000
509	chr13_7000001-8000000
510	chr13_8000001-9000000
511	chr13_9000001-10000000
512	chr13_10000001-11000000
513	chr13_11000001-12000000
514	chr13_12000001-13000000
515	chr13_13000001-14000000
516	chr13_14000001-15000000
517	chr13_15000001-16000000
518	chr13_16000001-17000000
519	chr13_17000001-18000000
520	chr13_18000001-19000000
521	chr13_19000001-20000000
522	chr13_20000001-21000000
523	chr13_21000001-22000000
524	chr13_22000001-23000000
525	chr13_23000001-24000000
526	chr13_24000001-25000000
527	chr13_25000001-26000000
528	chr13_26000001-27000000
529	chr13_27000001-28000000
530	chr13_28000001-29000000
531	chr13_29000001-30000000
532	chr13_30000001-31000000
533	chr13_31000001-32000000
534	chr13_32000001-33000000
535	chr13_33000001-34000000
536	chr13_34000001-35000000
537	chr13_35000001-36000000
538	chr13_36000001-37000000
539	chr13_37000001-37159020
540	chr14_1-1000000
541	chr14_1000001-2000000
542	chr14_2000001-3000000
543	chr14_3000001-4000000
544	chr14_4000001-5000000
545	chr14_5000001-6000000
546	chr14_6000001-7000000
547	chr14_7000001-8000000
548	chr14_8000001-9000000
549	chr14_9000001-10000000
550	chr14_10000001-11000000
551	chr14_11000001-12000000
552	chr14_12000001-13000000
553	chr14_13000001-14000000
554	chr14_14000001-15000000
555	chr14_15000001-16000000
556	chr14_16000001-17000000
557	chr14_17000001-18000000
558	chr14_18000001-19000000
559	chr14_19000001-20000000
560	chr14_20000001-21000000
561	chr14_21000001-22000000
562	chr14_22000001-23000000
563	chr14_23000001-24000000
564	chr14_24000001-25000000
565	chr14_25000001-26000000
566	chr14_26000001-27000000
567	chr14_27000001-28000000
568	chr14_28000001-29000000
569	chr14_29000001-30000000
570	chr14_30000001-31000000
571	chr14_31000001-32000000
572	chr14_32000001-33000000
573	chr14_33000001-34000000
574	chr14_34000001-35000000
575	chr14_35000001-36000000
576	chr14_36000001-36832652
577	chr15_1-1000000
578	chr15_1000001-2000000
579	chr15_2000001-3000000
580	chr15_3000001-4000000
581	chr15_4000001-5000000
582	chr15_5000001-6000000
583	chr15_6000001-7000000
584	chr15_7000001-8000000
585	chr15_8000001-9000000
586	chr15_9000001-10000000
587	chr15_10000001-11000000
588	chr15_11000001-12000000
589	chr15_12000001-13000000
590	chr15_13000001-14000000
591	chr15_14000001-15000000
592	chr15_15000001-16000000
593	chr15_16000001-17000000
594	chr15_17000001-18000000
595	chr15_18000001-19000000
596	chr15_19000001-20000000
597	chr15_20000001-21000000
598	chr15_21000001-22000000
599	chr15_22000001-23000000
600	chr15_23000001-24000000
601	chr15_24000001-25000000
602	chr15_25000001-26000000
603	chr15_26000001-27000000
604	chr15_27000001-28000000
605	chr15_28000001-29000000
606	chr15_29000001-30000000
607	chr15_30000001-31000000
608	chr15_31000001-32000000
609	chr15_32000001-33000000
610	chr15_33000001-34000000
611	chr15_34000001-35000000
612	chr15_35000001-35536770
613	chr16_1-1000000
614	chr16_1000001-2000000
615	chr16_2000001-3000000
616	chr16_3000001-4000000
617	chr16_4000001-5000000
618	chr16_5000001-6000000
619	chr16_6000001-7000000
620	chr16_7000001-8000000
621	chr16_8000001-9000000
622	chr16_9000001-10000000
623	chr16_10000001-11000000
624	chr16_11000001-12000000
625	chr16_12000001-13000000
626	chr16_13000001-14000000
627	chr16_14000001-15000000
628	chr16_15000001-16000000
629	chr16_16000001-17000000
630	chr16_17000001-18000000
631	chr16_18000001-19000000
632	chr16_19000001-20000000
633	chr16_20000001-21000000
634	chr16_21000001-22000000
635	chr16_22000001-23000000
636	chr16_23000001-24000000
637	chr16_24000001-25000000
638	chr16_25000001-26000000
639	chr16_26000001-27000000
640	chr16_27000001-28000000
641	chr16_28000001-29000000
642	chr16_29000001-30000000
643	chr16_30000001-31000000
644	chr16_31000001-32000000
645	chr16_32000001-33000000
646	chr16_33000001-34000000
647	chr16_34000001-35000000
648	chr16_35000001-35201806
649	chr17_1-1000000
650	chr17_1000001-2000000
651	chr17_2000001-3000000
652	chr17_3000001-4000000
653	chr17_4000001-5000000
654	chr17_5000001-6000000
655	chr17_6000001-7000000
656	chr17_7000001-8000000
657	chr17_8000001-9000000
658	chr17_9000001-10000000
659	chr17_10000001-11000000
660	chr17_11000001-12000000
661	chr17_12000001-13000000
662	chr17_13000001-14000000
663	chr17_14000001-15000000
664	chr17_15000001-16000000
665	chr17_16000001-17000000
666	chr17_17000001-18000000
667	chr17_18000001-19000000
668	chr17_19000001-20000000
669	chr17_20000001-21000000
670	chr17_21000001-22000000
671	chr17_22000001-23000000
672	chr17_23000001-24000000
673	chr17_24000001-25000000
674	chr17_25000001-26000000
675	chr17_26000001-27000000
676	chr17_27000001-28000000
677	chr17_28000001-29000000
678	chr17_29000001-30000000
679	chr17_30000001-31000000
680	chr17_31000001-32000000
681	chr17_32000001-33000000
682	chr17_33000001-34000000
683	chr17_34000001-34941941
684	chr18_1-1000000
685	chr18_1000001-2000000
686	chr18_2000001-3000000
687	chr18_3000001-4000000
688	chr18_4000001-5000000
689	chr18_5000001-6000000
690	chr18_6000001-7000000
691	chr18_7000001-8000000
692	chr18_8000001-9000000
693	chr18_9000001-10000000
694	chr18_10000001-11000000
695	chr18_11000001-12000000
696	chr18_12000001-13000000
697	chr18_13000001-14000000
698	chr18_14000001-15000000
699	chr18_15000001-16000000
700	chr18_16000001-17000000
701	chr18_17000001-18000000
702	chr18_18000001-19000000
703	chr18_19000001-20000000
704	chr18_20000001-21000000
705	chr18_21000001-22000000
706	chr18_22000001-23000000
707	chr18_23000001-24000000
708	chr18_24000001-25000000
709	chr18_25000001-26000000
710	chr18_26000001-27000000
711	chr18_27000001-28000000
712	chr18_28000001-29000000
713	chr18_29000001-30000000
714	chr18_30000001-31000000
715	chr18_31000001-32000000
716	chr18_32000001-32793614
717	chr19_1-1000000
718	chr19_1000001-2000000
719	chr19_2000001-3000000
720	chr19_3000001-4000000
721	chr19_4000001-5000000
722	chr19_5000001-6000000
723	chr19_6000001-7000000
724	chr19_7000001-8000000
725	chr19_8000001-9000000
726	chr19_9000001-10000000
727	chr19_10000001-11000000
728	chr19_11000001-12000000
729	chr19_12000001-13000000
730	chr19_13000001-14000000
731	chr19_14000001-15000000
732	chr19_15000001-16000000
733	chr19_16000001-17000000
734	chr19_17000001-18000000
735	chr19_18000001-19000000
736	chr19_19000001-20000000
737	chr19_20000001-21000000
738	chr19_21000001-22000000
739	chr19_22000001-23000000
740	chr19_23000001-24000000
741	chr19_24000001-25000000
742	chr19_25000001-26000000
743	chr19_26000001-27000000
744	chr19_27000001-28000000
745	chr19_28000001-29000000
746	chr19_29000001-30000000
747	chr19_30000001-31000000
748	chr19_31000001-32000000
749	chr19_32000001-32206363
750	chr20_1-1000000
751	chr20_1000001-2000000
752	chr20_2000001-3000000
753	chr20_3000001-4000000
754	chr20_4000001-5000000
755	chr20_5000001-6000000
756	chr20_6000001-7000000
757	chr20_7000001-8000000
758	chr20_8000001-9000000
759	chr20_9000001-10000000
760	chr20_10000001-11000000
761	chr20_11000001-12000000
762	chr20_12000001-13000000
763	chr20_13000001-14000000
764	chr20_14000001-15000000
765	chr20_15000001-16000000
766	chr20_16000001-17000000
767	chr20_17000001-18000000
768	chr20_18000001-19000000
769	chr20_19000001-20000000
770	chr20_20000001-21000000
771	chr20_21000001-22000000
772	chr20_22000001-23000000
773	chr20_23000001-24000000
774	chr20_24000001-25000000
775	chr20_25000001-26000000
776	chr20_26000001-27000000
777	chr20_27000001-28000000
778	chr20_28000001-29000000
779	chr20_29000001-30000000
780	chr20_30000001-31000000
781	chr20_31000001-32000000
782	chr20_32000001-32252668
783	chr21_1-1000000
784	chr21_1000001-2000000
785	chr21_2000001-3000000
786	chr21_3000001-4000000
787	chr21_4000001-5000000
788	chr21_5000001-6000000
789	chr21_6000001-7000000
790	chr21_7000001-8000000
791	chr21_8000001-9000000
792	chr21_9000001-10000000
793	chr21_10000001-11000000
794	chr21_11000001-12000000
795	chr21_12000001-13000000
796	chr21_13000001-14000000
797	chr21_14000001-15000000
798	chr21_15000001-16000000
799	chr21_16000001-17000000
800	chr21_17000001-18000000
801	chr21_18000001-19000000
802	chr21_19000001-20000000
803	chr21_20000001-21000000
804	chr21_21000001-22000000
805	chr21_22000001-23000000
806	chr21_23000001-24000000
807	chr21_24000001-25000000
808	chr21_25000001-26000000
809	chr21_26000001-27000000
810	chr21_27000001-28000000
811	chr21_28000001-29000000
812	chr21_29000001-30000000
813	chr21_30000001-31000000
814	chr21_31000001-32000000
815	chr21_32000001-32081259
816	chr22_1-1000000
817	chr22_1000001-2000000
818	chr22_2000001-3000000
819	chr22_3000001-4000000
820	chr22_4000001-5000000
821	chr22_5000001-6000000
822	chr22_6000001-7000000
823	chr22_7000001-8000000
824	chr22_8000001-9000000
825	chr22_9000001-10000000
826	chr22_10000001-11000000
827	chr22_11000001-12000000
828	chr22_12000001-13000000
829	chr22_13000001-14000000
830	chr22_14000001-15000000
831	chr22_15000001-16000000
832	chr22_16000001-17000000
833	chr22_17000001-18000000
834	chr22_18000001-19000000
835	chr22_19000001-20000000
836	chr22_20000001-21000000
837	chr22_21000001-22000000
838	chr22_22000001-23000000
839	chr22_23000001-24000000
840	chr22_24000001-25000000
841	chr22_25000001-26000000
842	chr22_26000001-27000000
843	chr22_27000001-28000000
844	chr22_28000001-29000000
845	chr22_29000001-30000000
846	chr22_30000001-31000000
847	chr22_31000001-31742902
848	chr23_1-1000000
849	chr23_1000001-2000000
850	chr23_2000001-3000000
851	chr23_3000001-4000000
852	chr23_4000001-5000000
853	chr23_5000001-6000000
854	chr23_6000001-7000000
855	chr23_7000001-8000000
856	chr23_8000001-9000000
857	chr23_9000001-10000000
858	chr23_10000001-11000000
859	chr23_11000001-12000000
860	chr23_12000001-13000000
861	chr23_13000001-14000000
862	chr23_14000001-15000000
863	chr23_15000001-16000000
864	chr23_16000001-17000000
865	chr23_17000001-18000000
866	chr23_18000001-19000000
867	chr23_19000001-20000000
868	chr23_20000001-21000000
869	chr23_21000001-22000000
870	chr23_22000001-23000000
871	chr23_23000001-24000000
872	chr23_24000001-25000000
873	chr23_25000001-26000000
874	chr23_26000001-27000000
875	chr23_27000001-28000000
876	chr23_28000001-29000000
877	chr23_29000001-30000000
878	chr23_30000001-31000000
879	chr23_31000001-31227213
880	chr24_1-1000000
881	chr24_1000001-2000000
882	chr24_2000001-3000000
883	chr24_3000001-4000000
884	chr24_4000001-5000000
885	chr24_5000001-6000000
886	chr24_6000001-7000000
887	chr24_7000001-8000000
888	chr24_8000001-9000000
889	chr24_9000001-10000000
890	chr24_10000001-11000000
891	chr24_11000001-12000000
892	chr24_12000001-13000000
893	chr24_13000001-14000000
894	chr24_14000001-15000000
895	chr24_15000001-16000000
896	chr24_16000001-17000000
897	chr24_17000001-18000000
898	chr24_18000001-19000000
899	chr24_19000001-20000000
900	chr24_20000001-21000000
901	chr24_21000001-22000000
902	chr24_22000001-23000000
903	chr24_23000001-24000000
904	chr24_24000001-25000000
905	chr24_25000001-26000000
906	chr24_26000001-27000000
907	chr24_27000001-28000000
908	chr24_28000001-29000000
909	chr24_29000001-30000000
910	chr24_30000001-30811943
